dataset,metric,type,value,layer,temperature
sciq,ACC,baseline,0.8500000238418579,,
sciq,NLL,baseline,0.7912148237228394,,
sciq,ECE,baseline,0.12348352372646332,,
sciq,MCE,baseline,0.45299336314201355,,
medmcqa_med,ACC,baseline,0.550000011920929,,
medmcqa_med,NLL,baseline,1.290804147720337,,
medmcqa_med,ECE,baseline,0.1827898919582367,,
medmcqa_med,MCE,baseline,0.28773683309555054,,
obqa,ACC,baseline,0.7400000095367432,,
obqa,NLL,baseline,1.383838415145874,,
obqa,ECE,baseline,0.20185193419456482,,
obqa,MCE,baseline,0.4562843143939972,,
sciq,ACC,temp_sampling,0.8820000290870667,29.0,0.5
sciq,NLL,temp_sampling,0.29472699761390686,29.0,0.5
sciq,ECE,temp_sampling,0.03486594185233116,29.0,0.5
sciq,MCE,temp_sampling,0.37272435426712036,29.0,0.5
obqa,ACC,temp_sampling,0.7300000190734863,27.0,0.5
obqa,NLL,temp_sampling,0.6891939640045166,27.0,0.5
obqa,ECE,temp_sampling,0.05388321354985237,27.0,0.5
obqa,MCE,temp_sampling,0.2063901424407959,27.0,0.5
obqa,ACC,temp_sampling,0.7400000095367432,22.0,0.1
obqa,NLL,temp_sampling,0.646274209022522,22.0,0.1
obqa,ECE,temp_sampling,0.041212163865566254,22.0,0.1
obqa,MCE,temp_sampling,0.3714773952960968,22.0,0.1
obqa,ACC,temp_sampling,0.7360000014305115,29.0,0.7
obqa,NLL,temp_sampling,0.6509600877761841,29.0,0.7
obqa,ECE,temp_sampling,0.027440574020147324,29.0,0.7
obqa,MCE,temp_sampling,0.28969821333885193,29.0,0.7
medmcqa_med,ACC,temp_sampling,0.49399998784065247,24.0,0.5
medmcqa_med,NLL,temp_sampling,1.1870070695877075,24.0,0.5
medmcqa_med,ECE,temp_sampling,0.04130773991346359,24.0,0.5
medmcqa_med,MCE,temp_sampling,0.11340689659118652,24.0,0.5
sciq,ACC,temp_sampling,0.8799999952316284,27.0,0.7
sciq,NLL,temp_sampling,0.2879084348678589,27.0,0.7
sciq,ECE,temp_sampling,0.022662749513983727,27.0,0.7
sciq,MCE,temp_sampling,0.380474328994751,27.0,0.7
sciq,ACC,temp_sampling,0.8859999775886536,22.0,0.3
sciq,NLL,temp_sampling,0.29706987738609314,22.0,0.3
sciq,ECE,temp_sampling,0.021055353805422783,22.0,0.3
sciq,MCE,temp_sampling,0.11229255795478821,22.0,0.3
medmcqa_med,ACC,temp_sampling,0.4819999933242798,30.0,0.5
medmcqa_med,NLL,temp_sampling,1.1724672317504883,30.0,0.5
medmcqa_med,ECE,temp_sampling,0.026650583371520042,30.0,0.5
medmcqa_med,MCE,temp_sampling,0.08659923076629639,30.0,0.5
obqa,ACC,temp_sampling,0.7400000095367432,22.0,0.5
obqa,NLL,temp_sampling,0.646635115146637,22.0,0.5
obqa,ECE,temp_sampling,0.04674705117940903,22.0,0.5
obqa,MCE,temp_sampling,0.4618643522262573,22.0,0.5
obqa,ACC,temp_sampling,0.7300000190734863,27.0,0.1
obqa,NLL,temp_sampling,0.6857182383537292,27.0,0.1
obqa,ECE,temp_sampling,0.05596796050667763,27.0,0.1
obqa,MCE,temp_sampling,0.7043943405151367,27.0,0.1
sciq,ACC,temp_sampling,0.8840000033378601,25.0,1.0
sciq,NLL,temp_sampling,0.307650625705719,25.0,1.0
sciq,ECE,temp_sampling,0.032426197081804276,25.0,1.0
sciq,MCE,temp_sampling,0.36651086807250977,25.0,1.0
sciq,ACC,temp_sampling,0.8759999871253967,31.0,1.0
sciq,NLL,temp_sampling,0.3019864857196808,31.0,1.0
sciq,ECE,temp_sampling,0.02503136545419693,31.0,1.0
